Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
200473:2927,96:96,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120555.88701,0.0805881794247
200473:2927,97:97,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,122727.898683,0.0820401074122
200473:2927,98:98,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,121285.054905,0.0810756074098
200473:2927,99:99,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,122045.481146,0.0815839307106
200473:2927,100:100,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,122276.805691,0.0817385645852
200473:2927,101:101,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120937.261078,0.0808431171352
200473:2927,102:102,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,115698.950022,0.077341455277
200473:2927,103:103,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,121137.656069,0.080977075483
200473:2927,104:104,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,121178.45514,0.0810043485009
200473:2927,105:105,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119832.886684,0.0801048742835
200473:2927,106:106,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,104618.679488,0.0699346097719
200473:2927,107:107,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,121998.16246,0.0815522995152
200473:2927,108:108,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,121825.556067,0.0814369170539
200473:2927,109:109,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120352.626729,0.0804523057114
200473:2927,110:110,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118331.518703,0.0791012525175
200473:2927,111:111,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119592.6194,0.0799442624422
200473:2927,112:112,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119194.815545,0.0796783418866
200473:2927,113:113,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120284.204994,0.0804065677291
200473:2927,114:114,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118886.755553,0.0794724125495
200473:2927,115:115,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119666.926555,0.0799939346604
200473:2927,116:116,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119387.766701,0.0798073242425
200473:2927,117:117,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120155.379253,0.0803204513871
200473:2927,118:118,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119560.259224,0.0799226305851
200473:2927,119:119,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117448.907617,0.0785112521252
200473:2927,120:120,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118296.221698,0.079077657474
200473:2927,121:121,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120675.25004,0.0806679702127
200473:2927,122:122,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120577.377881,0.08060254546
200473:2927,123:123,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119742.528917,0.0800444726874
200473:2927,124:124,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118057.781297,0.0789182668519
200473:2927,125:125,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120223.849326,0.0803662216826
200473:2927,126:126,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119043.830147,0.0795774124451
200473:2927,127:127,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118508.19001,0.0792193522576
200473:2927,128:128,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119556.392192,0.0799200455843
200473:2927,129:129,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118069.778231,0.0789262864606
200473:2927,130:130,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119096.993436,0.0796129505904
200473:2927,131:131,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117650.386156,0.0786459347944
200473:2927,132:132,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118832.020802,0.0794358239257
200473:2927,133:133,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,111353.506138,0.0744366497131
200473:2927,134:134,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117394.289559,0.0784747415082
200473:2927,135:135,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113510.058274,0.07587824344
200473:2927,136:136,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,113662.415949,0.0759800902098
200473:2927,137:137,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117454.004277,0.0785146590975
200473:2927,138:138,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116102.651905,0.0776113184964
200473:2927,139:139,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116047.923364,0.0775747340245
200473:2927,140:140,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,119091.316697,0.0796091558524
200473:2927,141:141,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117096.18395,0.0782754663925
200473:2927,142:142,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,116926.3295,0.0781619235267
200473:2927,143:143,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,120023.131563,0.0802320475708
200473:2927,144:144,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118123.846957,0.0789624298654
200473:2927,145:145,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,117676.95397,0.0786636946221
200473:2927,146:146,HLT_ZeroBias_v7,L1_ZeroBias,150,9973,118319.042829,0.0790929127506
